Date,Card Type,Product,Site No,Quantity,Unit Price,Cost,,
23/02/2024,BP BUNKER,BP CLEANER DIESEL,283704,139.82,1.364898,190.84,truck33,
23/02/2024,BP BUNKER,BP CLEANER DIESEL,003453,175.78,1.364888,239.92,truck27,
23/02/2024,UK FUELS,DIESEL (TP),6675,250,1.30452,326.13,truck44,
21/02/2024,UK FUELS,DIESEL,8938,70.99,1.30455,92.61,truck40,
21/02/2024,BP BUNKER,BP CLEANER DIESEL,153409,100.11,1.364899,136.64,truck25,
21/02/2024,UK FUELS,DIESEL,10015,50.08,1.304513,65.33,truck45,
20/02/2024,BP BUNKER,BP CLEANER DIESEL,306809,250.7,1.364898,342.18,truck6,
20/02/2024,BP BUNKER,BP CLEANER DIESEL,023522,180.88,1.294947,234.23,truck33,
19/02/2024,UK FUELS,DIESEL,8938,166.12,1.304479,216.7,truck40,
19/02/2024,BP BUNKER,BP CLEANER DIESEL,003360,295.02,1.364891,402.67,truck46,
19/02/2024,BP BUNKER,BP AD BLUE,003360,15.33,1.374429,21.07,truck46,
17/02/2024,UK FUELS,DIESEL (TP),9715,250,1.288,322,truck44,
16/02/2024,UK FUELS,DIESEL (TP),10310,100.02,1.30054,130.08,truck4,
16/02/2024,BP BUNKER,BP CLEANER DIESEL,003242,142.39,1.334293,189.99,truck27,
15/02/2024,UK FUELS,DIESEL (TP),10560,141.38,1.300467,183.86,truck21,
15/02/2024,BP BUNKER,BP CLEANER DIESEL,159104,200.01,1.334283,266.87,truck46,
15/02/2024,BP BUNKER,BP AD BLUE,159104,23.09,1.44738,33.42,truck46,
15/02/2024,UK FUELS,DIESEL (TP),9715,250.24,1.288004,322.31,truck44,
14/02/2024,BP BUNKER,BP AD BLUE,354050,13.42,1.265276,16.98,truck6,
14/02/2024,BP BUNKER,BP CLEANER DIESEL,003360,350.41,1.334294,467.55,truck15,
14/02/2024,UK FUELS,DIESEL,9309,200.01,1.287986,257.61,truck45,
13/02/2024,BP BUNKER,BP CLEANER DIESEL,026228,205,1.334293,273.53,truck40,
13/02/2024,BP BUNKER,BP CLEANER DIESEL,096412,300.01,1.334289,400.3,truck46,
13/02/2024,UK FUELS,DIESEL,8846,135.23,1.288028,174.18,truck21,
13/02/2024,UK FUELS,DIESEL (TP),10554,250.04,1.300512,325.18,truck44,
09/02/2024,UK FUELS,DIESEL,9309,200,1.274,254.8,truck44,
09/02/2024,BP BUNKER,BP CLEANER DIESEL,159104,100.01,1.334867,133.5,truck34,
08/02/2024,BP BUNKER,BP CLEANER DIESEL,010913,106.04,1.334874,141.55,truck25,
08/02/2024,UK FUELS,DIESEL,9309,200.03,1.274009,254.84,truck44,
07/02/2024,BP BUNKER,BP CLEANER DIESEL,010913,155.75,1.334896,207.91,truck25,
06/02/2024,UK FUELS,DIESEL,8846,135.21,1.274018,172.26,truck21,
06/02/2024,BP BUNKER,BP CLEANER DIESEL,309202,250.02,1.334893,333.75,truck46,
05/02/2024,BP BUNKER,BP CLEANER DIESEL,003504,150.02,1.334889,200.26,truck34,
05/02/2024,BP BUNKER,BP AD BLUE,159104,15.71,1.447486,22.74,truck46,
05/02/2024,BP BUNKER,BP CLEANER DIESEL,159104,313.01,1.334909,417.84,truck46,
02/02/2024,UK FUELS,DIESEL (TP),6675,240.02,1.317099,316.13,truck44,
01/02/2024,BP BUNKER,BP CLEANER DIESEL,094416,135,1.318593,178.01,truck27,
01/02/2024,BP BUNKER,BP CLEANER DIESEL,153308,419.55,1.318603,553.22,truck15,
01/02/2024,UK FUELS,DIESEL,8938,132.37,1.317066,174.34,truck40,
31/01/2024,UK FUELS,DIESEL,8938,187.27,1.317082,246.65,truck40,
31/01/2024,UK FUELS,DIESEL,8846,70,1.317143,92.2,truck21,
30/01/2024,BP BUNKER,BP CLEANER DIESEL,036821,100,1.3186,131.86,truck23,
29/01/2024,BP BUNKER,BP CLEANER DIESEL,003399,222.5,1.318607,293.39,truck34,
29/01/2024,UK FUELS,DIESEL (TP),6119,255.01,1.335085,340.46,truck40,
27/01/2024,UK FUELS,DIESEL (TP),10294,50.04,1.31235,65.67,truck21,
26/01/2024,BP BUNKER,BP CLEANER DIESEL,003499,150,1.3058,195.87,truck27,
25/01/2024,UK FUELS,DIESEL,10984,290,1.299897,376.97,truck44,
25/01/2024,UK FUELS,DIESEL (TP),10560,147.02,1.312406,192.95,truck21,
23/01/2024,BP BUNKER,BP CLEANER DIESEL,025319,166.78,1.305792,217.78,truck35,
23/01/2024,BP BUNKER,BP CLEANER DIESEL,159104,150.01,1.30578,195.88,truck20,
22/01/2024,BP BUNKER,BP AD BLUE,158808,16.89,1.447602,24.45,truck43,
19/01/2024,UK FUELS,DIESEL (TP),10560,86.98,1.303403,113.37,truck21,
18/01/2024,UK FUELS,DIESEL,9343,200,1.2909,258.18,truck44,
17/01/2024,BP BUNKER,BP CLEANER DIESEL,025319,186.77,1.292606,241.42,truck33,
17/01/2024,BP BUNKER,BP CLEANER DIESEL,010913,118.63,1.29259,153.34,truck25,
17/01/2024,BP BUNKER,BP CLEANER DIESEL,273000,150,1.2926,193.89,truck46,
16/01/2024,BP BUNKER,BP CLEANER DIESEL,017130,179.92,1.292574,232.56,truck40,
15/01/2024,BP BUNKER,BP CLEANER DIESEL,021610,210,1.292619,271.45,truck20,
15/01/2024,BP BUNKER,BP CLEANER DIESEL,278409,100.88,1.253469,126.45,truck34,
15/01/2024,BP BUNKER,BP CLEANER DIESEL,159104,213.01,1.292615,275.34,truck46,
15/01/2024,BP BUNKER,BP AD BLUE,159104,24.84,1.447262,35.95,truck46,
12/01/2024,UK FUELS,DIESEL,9386,23.25,1.298925,30.2,#N/A,
12/01/2024,BP BUNKER,BP CLEANER DIESEL,158707,200.01,1.290185,258.05,truck40,
11/01/2024,BP BUNKER,BP CLEANER DIESEL,158606,322.81,1.290202,416.49,truck15,
11/01/2024,BP BUNKER,BP AD BLUE,158606,26.2,1.447328,37.92,truck15,
11/01/2024,UK FUELS,DIESEL,8944,300.01,1.28639,385.93,truck46,
11/01/2024,BP BUNKER,BP CLEANER DIESEL,159104,260,1.290192,335.45,truck40,
11/01/2024,UK FUELS,DIESEL,10015,70.02,1.286347,90.07,truck45,
10/01/2024,BP BUNKER,BP CLEANER DIESEL,083416,281.19,1.290195,362.79,truck25,
10/01/2024,BP BUNKER,BP AD BLUE,083416,29.3,1.44744,42.41,truck25,
10/01/2024,UK FUELS,DIESEL,8936,200,1.2864,257.28,truck44,
09/01/2024,BP BUNKER,BP CLEANER DIESEL,306607,182.28,1.290213,235.18,truck25,
09/01/2024,BP BUNKER,BP CLEANER DIESEL,162100,305.7,1.290186,394.41,truck15,
09/01/2024,BP BUNKER,BP CLEANER DIESEL,283603,275.42,1.290211,355.35,truck41,
08/01/2024,UK FUELS,DIESEL (TP),10304,56.25,1.298844,73.06,truck39,
08/01/2024,UK FUELS,DIESEL,8944,150,1.2864,192.96,truck20,
04/01/2024,UK FUELS,DIESEL,9386,55.88,1.309055,73.15,#N/A,
03/01/2024,BP BUNKER,BP CLEANER DIESEL,600035,266.54,1.302093,347.06,truck25,
03/01/2024,BP BUNKER,BP AD BLUE,600035,21.11,1.447655,30.56,truck25,
03/01/2024,BP BUNKER,BP CLEANER DIESEL,159104,100.01,1.30207,130.22,truck20,
