Date,Card Type,Product,Site No,Quantity,Unit Price,Cost,,
04/06/2024,BP BUNKER,BP CLEANER DIESEL,284606,221.89,1.286809,285.53,truck54,
04/06/2024,BP BUNKER,BP AD BLUE,284606,7.19,1.262865,9.08,truck54,
04/06/2024,UK FUELS,DIESEL,9531,150.07,1.146598,172.07,truck20,
04/06/2024,BP BUNKER,BP AD BLUE,010913,27.12,1.465708,39.75,truck5,
04/06/2024,BP BUNKER,BP CLEANER DIESEL,010913,125.3,1.286832,161.24,truck5,
31/05/2024,UK FUELS,DIESEL (TP),9715,16.4,1.135366,18.62,truck31,
31/05/2024,UK FUELS,DIESEL (TP),15268,52.52,1.153465,60.58,truck24,
30/05/2024,BP BUNKER,BP CLEANER DIESEL,450511,220.32,1.287718,283.71,truck54,
30/05/2024,BP BUNKER,BP AD BLUE,450511,24.97,1.263917,31.56,truck54,
30/05/2024,UK FUELS,DIESEL,10985,160,1.135375,181.66,truck27,
29/05/2024,UK FUELS,DIESEL,9969,277.99,1.156409,321.47,truck41,
27/05/2024,BP BUNKER,BP CLEANER DIESEL,003565,180,1.287722,231.79,truck46,
25/05/2024,BP BUNKER,BP CLEANER DIESEL,100210,265,1.284189,340.31,truck35,
25/05/2024,BP BUNKER,BP AD BLUE,100210,55,1.465818,80.62,truck35,
24/05/2024,BP BUNKER,BP CLEANER DIESEL,305705,176.18,1.284198,226.25,truck8,
24/05/2024,BP BUNKER,BP CLEANER DIESEL,010913,209.29,1.284199,268.77,truck43,
24/05/2024,UK FUELS,DIESEL,11362,272.01,1.135399,308.84,truck41,
24/05/2024,UK FUELS,DIESEL,6183,267.13,1.135402,303.3,truck46,
24/05/2024,BP BUNKER,BP CLEANER DIESEL,280806,130,1.284231,166.95,truck40,
24/05/2024,BP BUNKER,BP CLEANER DIESEL,003345,159.34,1.284172,204.62,truck5,
23/05/2024,BP BUNKER,BP CLEANER DIESEL,283603,155.52,1.284208,199.72,truck43,
22/05/2024,BP BUNKER,BP CLEANER DIESEL,003394,120.2,1.284193,154.36,truck41,
22/05/2024,BP BUNKER,BP CLEANER DIESEL,287100,300.02,1.284214,385.29,truck46,
22/05/2024,BP BUNKER,BP CLEANER DIESEL,600220,220.17,1.284189,282.74,truck54,
21/05/2024,BP BUNKER,BP CLEANER DIESEL,003242,149.08,1.28421,191.45,truck27,
21/05/2024,BP BUNKER,BP AD BLUE,087108,25.36,1.493297,37.87,truck5,
21/05/2024,BP BUNKER,BP CLEANER DIESEL,087108,190.61,1.284193,244.78,truck5,
20/05/2024,BP BUNKER,BP CLEANER DIESEL,158606,392.45,1.284189,503.98,truck15,
19/05/2024,BP BUNKER,BP CLEANER DIESEL,158909,183.88,1.291603,237.5,truck40,
18/05/2024,BP BUNKER,BP CLEANER DIESEL,158808,382.71,1.291605,494.31,truck8,
18/05/2024,BP BUNKER,BP CLEANER DIESEL,155001,150.07,1.291597,193.83,truck43,
16/05/2024,UK FUELS,DIESEL,9969,250,1.16492,291.23,truck41,
15/05/2024,UK FUELS,DIESEL,11730,273,1.143883,312.28,truck40,
15/05/2024,BP BUNKER,BP AD BLUE,158909,15.46,1.465718,22.66,truck54,
15/05/2024,BP BUNKER,BP CLEANER DIESEL,158909,267.67,1.29159,345.72,truck54,
15/05/2024,BP BUNKER,BP CLEANER DIESEL,159104,140.01,1.291622,180.84,truck20,
15/05/2024,BP BUNKER,BP CLEANER DIESEL,275912,280.01,1.291597,361.66,truck46,
15/05/2024,BP BUNKER,BP AD BLUE,275912,26,0.907692,23.6,truck46,
15/05/2024,UK FUELS,DIESEL,0460,167.07,1.143892,191.11,truck27,
14/05/2024,BP BUNKER,BP CLEANER DIESEL,153409,199.95,1.291623,258.26,truck41,
10/05/2024,BP BUNKER,BP CLEANER DIESEL,010913,294.11,1.29931,382.14,truck43,
10/05/2024,UK FUELS,DIESEL,8945,131.73,1.232217,162.32,truck27,
10/05/2024,UK FUELS,DIESEL (TP),10302,100.02,1.244651,124.49,truck13,
10/05/2024,UK FUELS,DIESEL (TP),6964,120.01,1.232231,147.88,truck45,
09/05/2024,BP BUNKER,BP AD BLUE,290346,24.01,1.264057,30.35,truck46,
09/05/2024,BP BUNKER,BP CLEANER DIESEL,273101,250,1.29932,324.83,truck5,
08/05/2024,UK FUELS,DIESEL,0464,146.77,1.2322,180.85,truck40,
07/05/2024,BP BUNKER,BP CLEANER DIESEL,159003,313.14,1.299291,406.86,truck46,
07/05/2024,BP BUNKER,BP CLEANER DIESEL,156004,235.01,1.299306,305.35,truck54,
07/05/2024,BP BUNKER,BP AD BLUE,156004,16.47,1.466302,24.15,truck54,
03/05/2024,BP BUNKER,BP CLEANER DIESEL,284606,200.86,1.308822,262.89,truck43,
01/05/2024,BP BUNKER,BP CLEANER DIESEL,158909,270.01,1.308803,353.39,truck35,
01/05/2024,UK FUELS,DIESEL,8938,185.02,1.256513,232.48,truck40,
01/05/2024,UK FUELS,DIESEL,8843,137.28,1.269012,174.21,truck28,
